龙门上城区  7：20 p.m.
[name="ケルシー"]  どうかお願いします。この件を専門家に任せてください。
[name="Kal'tsit"]  I am begging you, Lord Wei. Leave this to the experts.
[name="켈시"]  부탁드립니다, 웨이 장관님. 이번 일은 진짜 전문가에게 맡겨주시죠.

[name="凯尔希"]  也许和任何势力为敌我们都毫无胜算，但感染者，我们确实知根知底。
[name="ケルシー"]  どんな勢力が相手でも勝算があるとまでは言いませんが、感染者のことならば、我々が一番良く知っています。
[name="Kal'tsit"]  We may be powerless against a standing army, but we know the Infected.
[name="켈시"]  어느 세력을 적으로 두더라도 저희에게는 승산은 없을 겁니다. 하지만 감염자에 대해서라면, 저희는 누구보다도 자신 있습니다.

[name="凯尔希"]  我们知道他们想要什么，也知道他们不想要什么。
[name="ケルシー"]  彼らの望み、そして弱み、全てを識り尽くしています。
[name="Kal'tsit"]  We know what they want, and what they don't.
[name="켈시"]  저희는 감염자들이 무엇을 원하는지, 무엇을 원하지 않는지 너무나도 잘 알고 있습니다.

[name="凯尔希"]  只有感染者才能对抗感染者。
[name="ケルシー"]  感染者に対抗できるのは、感染者の専門家である我々だけです。
[name="Kal'tsit"]  Only the Infected can face the Infected.
[name="켈시"]  감염자를 상대할 수 있는 건, 오직 감염자뿐입니다.

[name="魏彦吾"]  ——
[name="ウェイ"]  …………
[name="Wei Yenwu"]  ——
[name="웨이 옌우"]  ……

[name="魏彦吾"]  那么，你想要什么？罗德岛的领袖，以及罗德岛的医生？
[name="ウェイ"]  望みは何だ？　ロドスのリーダーと医者のお二人さん。君たちとて慈善事業のためにここへ来たわけではなかろう……
[name="Wei Yenwu"]  So, what do you want? Leader of Rhodes Island, Dr. Kal'tsit?
[name="웨이 옌우"]  그렇다면, 자네들은 무엇을 원하나? 로도스 아일랜드의 리더, 그리고 의사 선생?

[name="魏彦吾"]  你们不是来这里做慈善的。进攻核心城不仅是以卵击石，它一定会令你们损失惨重，更可能是徒劳无功。
[name="ウェイ"]  ただ、言っておくがあの中枢区画に立ち向かったせいで、君たちは大きな損失を受けるだけでなく、これまでの全ての努力が無駄になる可能性だってある。そうなったところで自己責任だ。
[name="Wei Yenwu"]  You're not a charity. Attacking the core city is tantamount to throwing an egg at a boulder. It will be ruinously expensive, and may be utterly futile.
[name="웨이 옌우"]  당신들도 자선 사업이나 벌이려고 온 것은 아닐 텐데? 코어를 공격하는 건 계란으로 바위를 치는 셈이야. 분명 막대한 피해를 입게 되겠지. 하물며 성공할 가능성도 희박하고.

[name="凯尔希"]  魏先生很清楚现状。
[name="ケルシー"]  さすがミスター・ウェイと言ったところでしょうか。厳しい現状を正確に認識していらっしゃる。
[name="Kal'tsit"]  You understand our position, Mr. Wei.
[name="켈시"]  정확히 알고 계시군요.

[name="魏彦吾"]  到了这一步，双方都说实话，会更符合我们的利益需求。
[name="ウェイ"]  ここまで来たら、本音を言った方がお互いのためだろうからな。
[name="Wei Yenwu"]  At this point, it benefits us both to speak plainly.
[name="웨이 옌우"]  이 지경까지 왔으면, 이젠 솔직히 털어놓는 게 서로의 이익을 위해서도 좋겠지.

[name="阿米娅"]  我们不仅需要魏先生同意我们的作战。我们还需要魏先生的承诺。
[name="アーミヤ"]  私たちの望みは、戦線への参加を認めていただくことだけでなく、あなたの約束が必要です、ウェイさん。今後龍門は、決してロドスに対し武力による攻撃をしないと誓ってください。
[name="Amiya"]  More than your agreement with our battle plan, Mr. Wei, we need your guarantee.
[name="아미야"]  웨이 장관님, 저희의 작전에 동의해주시는 것 외에, 한 가지 약속을 해주셔야 합니다.

[name="阿米娅"]  即使在未来，魏先生你可能会变卦......我们也想要承诺。对现在的承诺。
[name="アーミヤ"]  たとえ将来的にそれが破られる可能性があるとしても……今のこの状況において、あなたの口から約束していただきたいんです。
[name="Amiya"]  Considering you may change your mind in the future... We need your promise, for now.
[name="아미야"]  언젠가 웨이 장관님의 마음이 바뀌실 수도 있지만…… 지금은 저희와 약속해 주셨으면 해요.

[name="阿米娅"]  因为我相信龙门和您的家庭，以及陈长官，值得一个承诺。
[name="アーミヤ"]  龍門とあなたの家族……そしてチェンさんには、それを約束するだけの価値があると、私は信じていますから。
[name="Amiya"]  Because I believe that Lungmen and your family, and Madame Ch'en, are worth that promise.
[name="아미야"]  용문과 장관님의 가족, 첸 경관님까지…… 약속할 가치는 충분하다고 생각해요.

[name="魏彦吾"]  ......
[name="ウェイ"]  …………
[name="Wei Yenwu"]  ...
[name="웨이 옌우"]  ……

[name="阿米娅"]  文月小姐，我们不需要您支付金钱。因为您的善良，您对感染者的态度，值得我们去执行一次无需回报的公正任务。
[name="アーミヤ"]  フミヅキさん。あなたから金銭の報酬を受け取る気はありません。あなたの優しさや、感染者への善意の積み重ねは、私たちが無償で任務を請け負うのに充分なものですから。
[name="Amiya"]  We don't need your money, Miss Fumizuki. Your kindness and your attitude toward the Infected are enough for us to execute this operation free of charge.
[name="아미야"]  후미즈키 씨, 돈은 받지 않겠습니다. 후미즈키 씨의 친절함과 감염자에 대한 태도는, 임무에 있어 돈 이상의 충분한 보상이 되었어요.

[name="文月"]  （小兔子......）
[name="フミヅキ"]  アーミヤさん……
[name="Fumizuki"]  (Little rabbit...)
[name="후미즈키"]  (아미야 양……)

[name="阿米娅"]  欸？
[name="アーミヤ"]  はい？
[name="Amiya"]  Huh?
[name="아미야"]  에?

[name="文月"]  （比大拇指）
[name="フミヅキ"]  （親指を立てるジェスチャー）
[name="Fumizuki"]  (Gives a thumbs-up)
[name="후미즈키"]  (엄지손가락을 치켜세운다)

[name="阿米娅"]  ......？？
[name="アーミヤ"]  ……？？
[name="Amiya"]  ...??
[name="아미야"]  ……??

[name="魏彦吾"]  我同意。在龙门-切尔诺伯格事件结束之前，我们龙门绝不会再干涉任何罗德岛的事务。
[name="ウェイ"]  いいだろう。チェルノボーグの一件が収束するまで、龍門はロドスに一切干渉しないことを約束しよう。
[name="Wei Yenwu"]  I agree. Until the end of the Lungmen-Chernobog conflict, we, Lungmen, will not in any way interfere in Rhodes Island's affairs.
[name="웨이 옌우"]  좋아. 용문과 체르노보그 간의 사건이 해결될 때까지, 우리 용문은 로도스 아일랜드의 행동을 절대 방해하지 않겠네.

[name="魏彦吾"]  以及，在我看来，医生似乎欲言又止。
[name="ウェイ"]  それから……ケルシー君、まだ何か私に言いたいことがあるように見えるが。
[name="Wei Yenwu"]  And it looks to me like the good Dr. Kal'tsit has more yet to say.
[name="웨이 옌우"]  그리고, 켈시 선생이 아직 할 말이 남은 것 같네만.

[name="魏彦吾"]  说吧。你说什么，我都暂时能够承受。毕竟我也想请罗德岛帮我救助一位感染者。
[name="ウェイ"]  こちらからお願いをしている立場だ、どんなことでも善処しよう。
[name="Wei Yenwu"]  Speak up. I can endure it, for the time being. Because I need Rhodes Island to save one very specific Infected.
[name="웨이 옌우"]  말해보게. 지금은 어떤 요구든 받아주지. 나도 로도스 아일랜드에게 감염자 하나를 구해달라고 부탁하는 입장이니 말이야.

[name="凯尔希"]  ......那么，我还有一个提议。
[name="ケルシー"]  ……では、もう一つ提案があるのですが。
[name="Kal'tsit"]  ...Then, I have another proposal.
[name="켈시"]  그럼…… 한 가지 부탁이 더 있습니다.

[name="魏彦吾"]  有什么价码，尽管开。
[name="ウェイ"]  何でも言ってくれて構わない。
[name="Wei Yenwu"]  Name your price.
[name="웨이 옌우"]  얼마든지.

[name="凯尔希"]  二十年前，爱德华·雅特利亚斯，也就是塔露拉·雅特利亚斯之父，死在了龙门。
[name="ケルシー"]  20年前に龍門で亡くなった、エドワード・アルトリウス——つまりタルラ・アルトリウスの父親の件です。
[name="Kal'tsit"]  Twenty years ago, Edward Artorius, father of Talulah Artorius, died here in Lungmen.
[name="켈시"]  20년 전, 애드워드 아르토리우스, 즉 탈룰라 아르토리우스의 아버지가 용문에서 사망했습니다.

[name="凯尔希"]  我希望魏先生能把他的遗物借给我们。
[name="ケルシー"]  ミスター・ウェイが預かっているはずの、彼の遺品をお借りしたいのですが。
[name="Kal'tsit"]  I would like Mr. Wei to lend us his remains.
[name="켈시"]  그의 유품을 저희에게 빌려주셨으면 합니다.

