十三年前
十三年前
13 Years Ago
13년 전

8:09 P.M.  天气/大雪
[name="ケルシー"]  通常のアーツの範疇を越えているな……どうやらお前たちは、私が接触していなかった期間に驚くべき速さで進歩したようだ、「帝国の利刃」。
[name="Kal'tsit"]  This is far beyond the normal realm of Originium Arts... It looks like it has really been too long since I last dealt with the Emperor's Blade. You and your men have made remarkable progress.
[name="켈시"]  이미 아츠의 상식을 뛰어넘었어…… 아무래도 내가 오랫동안 제국의 칼날을 잊고 있었나 보네. 이렇게나 빨리 성장할 줄이야.

[name="“皇帝的利刃”"]  ......
[name="「皇帝の利刃」"]  ……
[name="'Emperor's Blade'"]  ......
[name="'황제의 칼날'"]  ……

[name="“皇帝的利刃”"]  你，对我们的秘密竟知晓到如此地步......？
[name="「皇帝の利刃」"]  貴様……我々の秘密を一体どこまで知っているのだ……？
[name="'Emperor's Blade'"]  You know this much about our secrets...?!
[name="'황제의 칼날'"]  우리의 비밀을 대체 어디까지 알고 있는 거냐……?

[name="“皇帝的利刃”"]  古老仪式，是，那些自诩得道者的疯癫助祭，才配为你们披挂邪魔。
[name="「皇帝の利刃」"]  近衛兵の古代の儀式には、たとえウルサスでの科学者であろうと手を出す権限がないのだぞ……
[name="'Emperor's Blade'"]  Even the most senior Ursus scientist would never be allowed to meddle in the Royal Guards' ancient ritual...
[name="'황제의 칼날'"]  고대 의식이라, 그래…… 자칭 깨달은 자들의 광기 어린 행동이야말로 데몬이라고 할 수 있겠지.

[name="凯尔希"]  你......
[name="ケルシー"]  古代の儀式か……そうだろうな。解脱を謳う狂った集団の祭司どもこそ、お前たちの身に悪魔をまとわせるにふさわしいのだろうな。
[name="Kal'tsit"]  Ancient rituals. Yes, only the ceremonies of your crazed, self-proclaimed spiritual leaders could adorn your kinds with your demons.
[name="켈시"]  너……

[name="凯尔希"]  你曾是落日峡谷的幸存者。
[name="ケルシー"]  お前は落陽の谷の生存者だった。
[name="Kal'tsit"]  You're a survivor of the Valley of the Setting Sun.
[name="켈시"]  넌 세팅선 협곡의 생존자로군.

[name="“皇帝的利刃”"]  嘶......！
[name="「皇帝の利刃」"]  スゥー……！
[name="'Emperor's Blade'"]  *Hiss*...!
[name="'황제의 칼날'"]  스으으으……!

[name="凯尔希"]  帝国的意志绝不会有多种面貌，但你确实稍有不同，最少，你并不年轻。
[name="ケルシー"]  帝国の意志が複数の姿を持つことは絶対に有り得ない。しかしお前の場合は確かに少し異なるようだ。少なくとも、お前は若くない。
[name="Kal'tsit"]  The Empire's will is always focused and unswerving, yet your goal seems to stray from your motherland's. At the very least, you are not that young.
[name="켈시"]  제국의 의지가 여러 모습을 갖고 있는 건 절대 있을 수 없는 일이지만, 확실히 너는 뭔가 좀 달라. 적어도 젊지는 않지.

[name="凯尔希"]  我们不该以命相搏，内卫。你清楚我唯一做的事情，是你们本该去做，却无从下手的事情。
[name="ケルシー"]  近衛兵、我々は互いに命をかけて対立すべきではない。お前は知っているはずだ。私が唯一行ったことは、本来はお前たちの責務であり、そして果たせなかったことであると。
[name="Kal'tsit"]  You should not be fighting me, Royal Guard. Both you and I know that the job I finished was one that you and your men should've done yourselves, but never did.
[name="켈시"]  근위병, 우리끼리 목숨 걸고 싸울 필요 없어. 너도 잘 알겠지만, 내가 유일하게 한 일은 너희들이 해야 했지만 하지 못했던 것이야.

[name="“皇帝的利刃”"]  不要搞错权力的归属，叛国者，你何时能代表圣骏堡的法律和权威？
[name="「皇帝の利刃」"]  逆徒よ……権力がどこに帰属するかを履き違えるなよ。貴様は一体いつからサンクト・シュンブルグの法律と権威を代表できるようになったのだ？
[name="'Emperor's Blade'"]  Don't be mistaken about where that right lies, traitor. You do not represent Deity Grypherburg's laws and prestige.
[name="'황제의 칼날'"]  권력의 귀속이 누구한테 있는지 착각하지 마라, 반역자. 네가 언제부터 디에티 그라이퍼부르크의 법과 권위를 대표하게 됐지?

[name="凯尔希"]  若是你亲历了整场叛乱，内卫，你更应该明白。帝国的兴衰何时真正被尊严和体面左右过？
[name="ケルシー"]  一連の反乱をその身で経験したなら、よくわかっているはずだ。帝国の興廃はいつから尊厳と体裁に左右されるようになったのだ？
[name="Kal'tsit"]  If you truly witnessed the whole uprising, Royal Guard, then you should understand this more so than anyone. The Empire's rise and fall has never truly been affected by dignity and honor.
[name="켈시"]  만약 네가 반란을 처음부터 겪었다면 잘 알고 있을 거다, 근위병. 제국의 흥망성쇠가 언제 존엄과 체면에 흔들린 적 있었지?

[name="“皇帝的利刃”"]  ......
[name="「皇帝の利刃」"]  ……
[name="'Emperor's Blade'"]  ......
[name="'황제의 칼날'"]  ……

[name="凯尔希"]  那么，先皇可曾有一刻......发自内心地轻视维多利亚？
[name="ケルシー"]  先帝はかつて……一瞬でも心の底からヴィクトリアを軽視したことがあったか？
[name="Kal'tsit"]  Let me ask you this, then. Did the last emperor ever truly look down on Victoria from the bottom of his heart?
[name="켈시"]  그렇다면 선황이 한순간이라도…… 빅토리아를 진심으로 경멸한 적 있다는 거냐?

[name="“皇帝的利刃”"]  ......
[name="「皇帝の利刃」"]  ……
[name="'Emperor's Blade'"]  ......
[name="'황제의 칼날'"]  ……

[name="“皇帝的利刃”"]  或许我该高看你一眼，叛国者。
[name="「皇帝の利刃」"]  逆徒よ、私はお前の評価を上方修正するべきかもしれない。
[name="'Emperor's Blade'"]  Perhaps I do not give you enough credit, traitor.
[name="'황제의 칼날'"]  아무래도 널 과소평가한 것 같군, 반역자.

[name="“皇帝的利刃”"]  最后一次机会。说出你的秘密，换来一份体面的死亡。
[name="「皇帝の利刃」"]  最後のチャンスだ。お前が知る秘密を全て吐け。そうすれば、せめて尊厳ある死を与えてやろう。
[name="'Emperor's Blade'"]  I will give you one last chance. Reveal your secrets, and I will grant you a dignified death.
[name="'황제의 칼날'"]  마지막 기회다. 네가 아는 비밀을 말하면 명예로운 죽음을 주겠다.

[name="凯尔希"]  很遗憾，任何与自身意志无关的死亡，都不存在体面一说。
[name="ケルシー"]  残念ながら、己の意志と関係のない死には、尊厳などもとより存在しない。
[name="Kal'tsit"]  Alas, given this death would have nothing to do with my own conviction, dignity was never on the table.
[name="켈시"]  아쉽지만 자신의 의지와 무관한 죽음에 명예 따윈 존재하지 않아.

[name="凯尔希"]  Mon3tr。
[name="ケルシー"]  Mon3tr。
[name="Kal'tsit"]  Mon3tr.
[name="켈시"]  Mon3tr.

[name="Mon3tr"]  （欢快的嘶鸣）
[name="Mon3tr"]  （嬉しそうな雄たけび）
[name="Mon3tr"]  (Elated braying)
[name="Mon3tr"]  (신난 듯 울부짖으며) 크르르르르!

[name="“皇帝的利刃”"]  嘶......呼。
[name="「皇帝の利刃」"]  スゥー……フゥー。
[name="'Emperor's Blade'"]  *Hiss*... *Huff*...
[name="'황제의 칼날'"]  스으으으…… 후우우우……

恐惧在膨胀。利刃拔出了利刃。他将践行乌萨斯的意志。
殺気が膨れあがる。利刃は、ウルサスの意志を実行するため、刀を抜き放った。
As the fear in the air heightens, the Royal Guard draws his blade. He is about to execute Ursus's will.
살기가 부풀어 올랐다. '황제의 칼날'은 우르수스의 의지를 이행하고자, 검을 뽑아 들었다.

