AM10：21 罗德岛训练场
a.m. 10:21 ロドス訓練場
10:21 AM Rhodes Island Training Ground
10:21 a.m.  로도스 아일랜드 훈련장
[name="Fang"]     Ah? Is this... a test?
[name="팽"]     네? 이건…… 시험인가요?

[name="杜宾"]     不是，你们可以随意回答。
[name="ドーベルマン"]     いや、違う。思ったことを答えてくれればいい。
[name="Dobermann"]     No. There are no wrong answers.
[name="도베르만"]     아니. 그냥 편하게 대답하도록.

[name="米格鲁"]     呼，那就好。
[name="ビーグル"]     ふぅ、よかった。
[name="Beagle"]     Phew.
[name="비글"]     후… 다행이네요.

[name="芬"]     让我想想，嗯......精通战斗？
[name="フェン"]     うーん……戦闘に精通していることですか？
[name="Fang"]     Let's see, um.... combat proficiency?
[name="팽"]     글쎄요…… 음…… 전투를 잘하는 건가요?

[name="杜宾"]     大部分人经过训练都会战斗，就像这里的大部分普通干员一样，你们将来也会变成那样，这并不算什么特征。
[name="ドーベルマン"]     大部分の者は訓練を積めば戦えるようになる。ロドスのほとんどのオペレーターたちと同じさ。お前たちも将来はそうなる。だからそれは特徴とは言わない。
[name="Dobermann"]     Most people learn to fight. The operators here all do, and you two will. It's not something unique.
[name="도베르만"]     훈련을 받으면 대부분의 사람들은 다 싸울 수 있게 되지. 이곳의 오퍼레이터들처럼 말이야. 너희도 곧 그렇게 될 테니, 그건 큰 특징이 아니다.

[name="米格鲁"]     难道是可以用到很厉害的武器？
[name="ビーグル"]     じゃあすごい武器を扱えるとか……ですか？
[name="Beagle"]     Is it being able to use some kind of awesome weapon?
[name="비글"]     설마, 강력한 무기를 쓸 수 있는 건가요?

[name="杜宾"]     确实，许多制式武器在军队中能简单接触到的......
[name="ドーベルマン"]     確かにな。軍にいれば多くの武器に触れることは容易い……
[name="Dobermann"]     It's true that many manufactured weapons are readily accessible to the military....
[name="도베르만"]     확실히, 많은 제식 무기들을 군에서 쉽게 접할 수 있긴 하지만……

[name="杜宾"]     但你们在罗德岛上应该也已经见过了，总有人可以通过不同的渠道获得一部分这样的武器。
[name="ドーベルマン"]     だがお前たちもロドスで見ていると思うが、多くの者が別のルートから、同じような武器を手に入れることができているのもまた事実だ。
[name="Dobermann"]     But as you've seen here at Rhodes Island, there's always people who have other ways of acquiring such things.
[name="도베르만"]     그래도 로도스 아일랜드에서 보았듯이, 누군가는 결국 다른 루트를 통해 무기를 얻을 수 있게 된다.

[name="芬"]     数量很多？
[name="フェン"]     では、数の多さ……ですか？
[name="Fang"]     There's a lot of them?
[name="팽"]     그럼, 수가 많다는 겁니까?

[name="杜宾"]     嗯......这确实是一点，军队往往拥有民间组织不可比拟的人数优势。
[name="ドーベルマン"]     ああ……確かにそれはあながち間違いとは言えないな。軍隊は多くの兵士を抱え、常に民間組織とは比べ物にならない数の優位を有している。
[name="Dobermann"]     Yes.... That is a big one, the military usually has a numerical advantage unmatched by civilian organizations.
[name="도베르만"]     음…… 맞는 말이다. 군대는 민간 조직보다 머릿수에서 월등히 앞서니까.

[name="杜宾"]    即使是罗德岛现在的规模，也只能比得上某个小国中一座小型非前线移动城邦的常驻军力吧。
[name="ドーベルマン"]    現状のロドスの規模であっても、軍隊を相手にするとなれば、小さな国の小型非前線移動都市の標準軍事力となんとか競い合える程度に過ぎない。
[name="Dobermann"]    Rhodes Island today can only compare the standing army of maybe a backwater nomadic city in a small country.
[name="도베르만"]    지금 로도스 아일랜드의 규모만 하더라도, 일개 소형 국가의 이동도시 주둔군 정도의 수준은 되겠지.

[name="米格鲁"]     诶诶？我还以为罗德岛已经很厉害了呢......
[name="ビーグル"]     ええっ？　ロドスはもっとすごいと思っていました……
[name="Beagle"]     Whaa? I thought Rhodes Island was really powerful...
[name="비글"]     에에?! 로도스 아일랜드도 엄청 강하다고 생각했는데……

[name="杜宾"]     在民间组织的范畴内，罗德岛确实已经做得很好了。但是，永远不要妄图和国家对抗，想都别想。
[name="ドーベルマン"]     民間組織の範疇で言えば、ロドスは確かによくやっている。だが、一国家を相手にしようなどとは間違っても考えないことだ。
[name="Dobermann"]     For a non-governmental organization, Rhodes Island has done very well for itself. But we couldn't dream of challenging a state.
[name="도베르만"]     민간 조직의 수준으로 비교하자면 로도스 아일랜드는 이미 훌륭한 편이지만, 함부로 국가에 대항할 생각은 해선 안 돼.

[name="米格鲁"]     但是我们不是有很多很厉害的干员吗？比如天火小姐，唰一下能打一片，感觉很厉害啊。
[name="ビーグル"]     でもロドスにはすごいオペレーターがたくさんいますよね？　スカイフレアさんとか、バァーっと一面の敵を倒してしまいますし、本当にすっごいですよ。
[name="Beagle"]     But we have such amazing operators. Like Skyfire, she goes "swoosh" with her staff and everything goes "fwoom!"
[name="비글"]     하지만 대단한 오퍼레이터들이 많잖아요? 예를 들면, 아츠로 한번 휙~ 하면 다 불태워버릴 수 있는 스카이파이어 씨라던가…… 대단하잖아요.

[name="芬"]     但是面对数量优势的话，如果不是强大到一定程度，是无法左右战局的吧？
[name="フェン"]     でも数の優位を取られてしまえば、ある程度以上に強さがないと、戦局を左右することはできないよ。
[name="Fang"]     But there's only so much you can do in the face of an overwhelming numbers.
[name="팽"]     하지만 수적 우세인 상대를 만난다면? 어느 정도 강하지 않으면, 전세를 뒤집기는 어렵잖아?

[name="芬"]     你还记得警备队的格斯吗？他虽然力气是警备队里第一大的，但如果十几个人一起围攻他......
[name="フェン"]     ほら、警備隊のガッツは覚えてる？　彼は警備隊の中では一番の力持ちだったけど、もし十何人かで袋叩きにしてしまえば……
[name="Fang"]     Do you remember Gus, from the garrison? He was the toughest guy there by far, but if a dozen men ganged up on him...
[name="팽"]     경비대에 있을 때 봤던 거스 기억해? 거스는 경비대에서 가장 힘이 셌지만, 그래도 열댓 명이 덤벼든다면……

[name="杜宾"]     没错，即使个体战斗力平庸，但量变是可以产生质变的。一个米格鲁没法对付天火，但十个呢，一百个呢？想一想。
[name="ドーベルマン"]     そうだ。個体の戦闘力は平凡だとしても、量的変化は質的変化をもたらす。ビーグル一人ではスカイフレアに太刀打ちできないかもしれないが、十人なら？　百人なら？　考えてみろ。
[name="Dobermann"]     Exactly. Numbers change the calculation even for a mediocre combatant. One Beagle couldn't take on Skyfire. But what about ten, or a hundred Beagles? Think about it.
[name="도베르만"]     그래, 개개인으로 봤을 때는 평범하더라도, 머리수로 밀어붙이면 이야기가 또 달라지지. 비글 혼자서는 스카이파이어를 이길 수 없겠지만, 비글이 열 명이라면? 백 명이라면? 생각해봐라.

[name="米格鲁"]     一、一百个我啊？感、感觉可以压死天火小姐......
[name="ビーグル"]     わ、わたしが百人ですか？　た、多分スカイフレアさんを押しつぶせると思います……
[name="Beagle"]     A- a hundred mes? We- we could crush Skyfire...
[name="비글"]     제, 제가 백 명이나요? 스카이파이어 씨가 깔려 죽을지도 모르겠는데요……

[name="米格鲁"]     对不起，天火小姐......
[name="ビーグル"]     ごめんなさい、スカイフレアさん……
[name="Beagle"]     Sorry, Skyfire....
[name="비글"]     죄송해요 스카이파이어 씨……

[name="杜宾"]     呵，没错，至少在可考的战争史中，还没有出现过真的以个体实力影响以国家为单位的战争的人。
[name="ドーベルマン"]     フッ、そうだ。少なくとも記録にある戦争史においては、個人の実力で国家同士の戦争に影響を与えるだけの人物は、未だ現れていない。
[name="Dobermann"]     Heh. Exactly. The number of times a lone individual has used her individual strength to influence warfare on a national scale is zero. In the entire recorded history of human conflict.
[name="도베르만"]     훗, 그래. 전쟁사에도 개인의 실력이 국가 단위의 전쟁에 영향을 끼친 기록은 없다.

[name="杜宾"]     呼......稍微扯远了，我一直没有对预备组的你们系统性地讲解军队的原因是，对你们来说，现在知道这些没有什么意义。
[name="ドーベルマン"]     ふぅ……少し話が逸れたな。私がお前たち予備隊に、軍隊というものを全面的に解説していない理由は、お前たちが今それを知ったところで、何の意味もないからだ。
[name="Dobermann"]     Anyway.... To digress a little, there's a reason I haven't been systematically explaining the Army to you in your prep courses. There's just no value to it.
[name="도베르만"]     후…… 본론에서 조금 벗어났군. 내가 예비작전팀에게 체계적으로 군대에 대해 알려주지 않았던 것은, 너희가 알아봤자 소용이 없기 때문이다.

[name="杜宾"]     在现阶段，我希望你们不会有用上这样的知识的机会，现在说的东西你们可以随意听一听。
[name="ドーベルマン"]     現状では、そのような知識を用いることになる機会はまず訪れないだろう。だから今話していることは、あまり真剣に聞かなくても良い。
[name="Dobermann"]     My greatest hope is that you'll never have a chance to apply any of this knowledge. This little lesson here is completely voluntary.
[name="도베르만"]     지금은, 너희가 이 지식을 사용할 기회가 없기를 바란다. 한 귀로 듣고 흘리도록.

[name="芬"]     所以答案也不是数量吗？
[name="フェン"]     つまり、答えは数でもないということですね？
[name="Fang"]     So numbers aren't the answer either?
[name="팽"]     그래서, 결국 정답은 '머리수' 인가요?

[name="杜宾"]     嗯，虽然是不错的着眼点，不过这是军队的性质，而不是士兵的，再想想。
[name="ドーベルマン"]     ああ、悪くない着眼点だが、それは軍隊の性質であり、兵士の性質ではない。もう少し考えてみろ。
[name="Dobermann"]     Well, it's an answer, but it's more of a descriptor of the military itself, rather than a soldier.
[name="도베르만"]     그래. 나쁘지 않은 생각이군. 하지만 이것은 군대의 특징이지, 사병의 특징은 아니다. 다시 생각해 보도록.

[name="芬"]     嗯......
[name="フェン"]     はい……
[name="Fang"]     Hmmm....
[name="팽"]     음……

[name="米格鲁"]     那个，是服从命令吗？
[name="ビーグル"]     じゃあ、命令に従う、ですか？
[name="Beagle"]     Um. Is it following orders?
[name="비글"]     명령에 복종하는 것, 인가요?

[name="杜宾"]     为什么你会这么想？
[name="ドーベルマン"]     なぜそう思った？
[name="Dobermann"]     What makes you say that?
[name="도베르만"]     왜 그렇게 생각하지?

[name="米格鲁"]     我刚刚想起来，我们曾经在警备队的时候，队长就说过，作为士兵，无论什么情况都要服从命令。
[name="ビーグル"]     さっきふと思い出したんです。わたしたちがまだ警備隊にいた頃に隊長が言っていた言葉を。「兵士として、どのような状況でも命令に従え」と仰っていました。
[name="Beagle"]     I just thought back to our time at the garrison. The captain said that as a soldier, you have to follow orders no matter what.
[name="비글"]     경비대에 있을 때, 대장님이 말해줬던 게 생각났습니다. 병사는 어떤 상황이든지 명령에 복종해야 한다고요.

[name="杜宾"]     没错。
[name="ドーベルマン"]     よく覚えていたな。その通りだ。
[name="Dobermann"]     Correct.
[name="도베르만"]     맞아.

[name="米格鲁"]     诶，我答对了吗！
[name="ビーグル"]     あっ、正解ですか！
[name="Beagle"]     Huh? I got it right!
[name="비글"]     앗, 정답인가요?!

[name="杜宾"]     对，士兵最大的特征，就是服从命令。
[name="ドーベルマン"]     ああ、兵士の最大の特徴は、命令に従うことだ。
[name="Dobermann"]     You did. The defining characteristic of a soldier is obedience to the chain of command.
[name="도베르만"]     그래. 병사의 가장 큰 특징은 명령에 복종하는 것이다.

[name="杜宾"]     有一句话是这么说的，不会思考的士兵才是合格的士兵。军队是不需要士兵思考的，而只需要他们服从命令。
[name="ドーベルマン"]     こんな言葉がある。「思考しない兵士こそが合格に値する」と。軍隊では兵士が思考することを必要としない。必要なのは従順さだけだ。
[name="Dobermann"]     There's a saying: the best soldier is one who can't think. An army does not need soldiers to think. Only to follow orders.
[name="도베르만"]     생각하지 않는 병사야말로 가장 훌륭한 병사라는 말도 있지. 군대가 필요로 하는 것은 명령에 대한 복종이지, 병사의 생각이 아니다.

[name="米格鲁"]     但是，这样不会很残忍吗？
[name="ビーグル"]     それって、兵士はただ言うことを聞けってことですよね。ひどくないですか？
[name="Beagle"]     But isn't that kind of cruel?
[name="비글"]     하지만, 그건 너무 잔인하잖아요?

[name="杜宾"]     战争更加残忍，如果一定要参与战争的话，抛弃思考说不定确实是某种形式的解脱。
[name="ドーベルマン"]     戦争はそれ以上に残酷さ。それに思考を止めることは、兵士にとってある種の救いになりえるかもしれん。
[name="Dobermann"]     War is cruel. And if you must engage in it, giving up thought could be a kind of relief.
[name="도베르만"]     더 잔인한 건 전쟁이니까. 전쟁에 참여했을 때 생각을 포기하는 것은, 일종의 해방일지도 모른다.

[name="米格鲁"]     但是......
[name="ビーグル"]     でも……
[name="Beagle"]     But....
[name="비글"]     하지만……

[name="杜宾"]     你有这样的疑问也是理所当然的，这不残忍吗？士兵就不是人吗？
[name="ドーベルマン"]     「兵士は意思を持つ人間なのに」か？　お前がそう思うのは当然のことだ。
[name="Dobermann"]     Isn't it cruel that you have these questions at all? Aren't soldiers human?
[name="도베르만"]     당연한 의문이다. 잔인하지 않은가? 병사는 사람이 아닌가?

[name="杜宾"]     显然，士兵终究不是机器，他们比谁都更接近死亡，所以比谁都知道自己都知道自己在面对什么。
[name="ドーベルマン"]     実際、兵士は機械などではないからな。それに彼らは、誰よりも死に近い場所にいる。だからこそ、自らが信じるものに命を預けて戦うんだ。
[name="Dobermann"]     Obviously, a soldier is not a machine. He comes closer to death than anyone, and he knows better than anyone exactly what it is he is facing.
[name="도베르만"]     물론, 병사는 기계가 아니다. 그 누구보다도 죽음에 가까운 존재지. 그렇기에 누구보다도 자신이 무엇을 마주하고 있는지 잘 알고 있어.

[name="杜宾"]     当士兵明知道自己在执行一项愚蠢至极的命令时，他真的还能够鼓起士气吗？
[name="ドーベルマン"]     もし兵士があまりにも愚かな命令に従っていると自覚していたら、士気高々に戦えると思うか？
[name="Dobermann"]     Can a soldier still muster up morale when he knows he's carrying out an incredibly stupid order?
[name="도베르만"]     그럼, 자신이 멍청하기 짝이 없는 명령을 수행하고 있다는 사실을 깨달은 병사의 사기를 과연 북돋울 수 있을까?

[name="芬"]     应该不能......吧？
[name="フェン"]     難しい……と思います。
[name="Fang"]     I think... no?
[name="팽"]     못…… 하겠죠?

[name="杜宾"]     当然不能。所以在这种时候，一般有两件事可以做，你们知道是什么吗？
[name="ドーベルマン"]     そうだな、もちろん不可能だ。その場合、上役には二つの選択肢がある。何かわかるか？
[name="Dobermann"]     Of course not. So when faced with such a situation, you have two choices. Do you know what they are?
[name="도베르만"]     물론이다. 그럴 땐 보통 두 가지를 할 수 있지. 뭔지 알겠나?

[name="芬&米格鲁"]     ......不知道。
[name="二人"]     ……わかりません。
[name="Fang & Beagle"]     ...No.
[name="팽&비글"]     ……아니요.

[name="杜宾"]     一件事是，让士兵察觉不到自己正在执行一项愚蠢的命令。
[name="ドーベルマン"]     一つ目は、その命令が愚かなものであることを、兵士に気づかせないことだ。
[name="Dobermann"]     One is to prevent the soldier from noticing the order is incredibly stupid.
[name="도베르만"]     하나는, 병사가 자신이 멍청한 명령을 수행하고 있다는 사실을 모르게 하는 거다.

[name="杜宾"]     但这其实很难，身在前线的人，最知道自己面临着怎样的危险，试图去欺骗他们往往是愚蠢的。
[name="ドーベルマン"]     だが実際にはそれは難しい。前線に身を置く者は、自分がどのような危険の中にいるかよくわかっている。彼らを騙そうとするのは愚策だと言えるだろう。
[name="Dobermann"]     But that's difficult. The men on the front lines know exactly what kind of danger they are facing. You can't fool them.
[name="도베르만"]     하지만 그건 어렵지. 자신이 어떤 위험에 처했는지는 전선에 나간 사람이 가장 잘 알고 있다. 그들을 속이는 건 멍청한 짓이야.

[name="杜宾"]     倒不如说，能做到这点的话，本来就可以做到更好。
[name="ドーベルマン"]     と言うよりも、それができるのなら、初めからそのようなことに頭を悩ませていないだろう。
[name="Dobermann"]     If you could, you could've made a better choice.
[name="도베르만"]     이런 짓을 할 수 있을 정도라면, 아예 처음부터 잘할 수 있었겠지.

[name="杜宾"]     而另一件事，就是发布正确的命令。
[name="ドーベルマン"]     もう一つは、正しい命令を出すことだ。
[name="Dobermann"]     And that other choice is to just issue the correct orders.
[name="도베르만"]     또 다른 하나는, 올바른 명령을 내리는 것이다.

[name="芬"]     诶？
[name="フェン"]     えっ？
[name="Fang"]     Huh?
[name="팽"]     네?

[name="杜宾"]     这听起来有些诡辩，但事实上就是如此，如何让一个士兵可以放心放弃思考战斗？
[name="ドーベルマン"]     詭弁に聞こえるかもしれないが、事実としてそうなんだ。どのように兵士に思考をさせずに戦わせるか――
[name="Dobermann"]     It may sound a bit silly, but it's the truth. How else do you get a soldier to surrender his inclination to question orders?
[name="도베르만"]     궤변같이 들리겠지만, 사실이 그렇다. 어떻게 병사가 생각하기를 포기하고 전장에 나가게 할 수 있는가?

[name="杜宾"]     如何让一个士兵不去怀疑他们得到的命令？
[name="ドーベルマン"]     そして、どのように命令を疑わせないようにするか？
[name="Dobermann"]     How do you get him to relax, and trust in his command?
[name="도베르만"]     어떻게 해야 병사가 자신이 받은 명령을 의심하지 않게 할까?

[name="杜宾"]     很简单，发布让士兵信服的，正确的命令就好了。
[name="ドーベルマン"]     答えは簡単だ。兵士を納得させられる、正しい命令を出せば良い。
[name="Dobermann"]     It's simple. Just issue convincing, correct orders from the beginning.
[name="도베르만"]     답은 간단하다. 병사들이 믿을 수 있는, 정확한 명령을 내려주면 된다.

[name="杜宾"]     但总是有人不明白这一点。
[name="ドーベルマン"]     だがそれを理解できない者が多いのが現状だ。
[name="Dobermann"]     But not everyone makes the right choice.
[name="도베르만"]     하지만 이걸 모르는 사람들이 많지.

[name="杜宾"]     在离开自治政府后，我又辗转加入了反抗军，但我还是离开了，因为我发现，那里也是一样的。
[name="ドーベルマン"]     私は自治政府を離れた後、巡り巡って反抗軍に加入した。しかし最後にはやはり、そこからも離れることにした。どの場所も同じだと気づいたからだ。
[name="Dobermann"]     After leaving the Autonomous Government, I moved to join the Resistance. But in the end I left. Because it wasn't any different there.
[name="도베르만"]     나는 자치 정부를 떠난 뒤 저항군에 들어갔었다. 하지만 그곳도 결국 떠나게 되었지. 거기도 마찬가지라는 것을 알게 되었기 때문이다.

[name="米格鲁"]     欸欸欸，杜宾老师还加入过反抗军吗？！
[name="ビーグル"]     えええ、ドーベルマン教官は反抗軍にいたこともあるんですか！？
[name="Beagle"]     Woah. Instructor Dobermann even joined the Resistance?!
[name="비글"]     에에에?! 도베르만 선생님, 저항군에도 들어가셨나요?!

[name="杜宾"]     嗯，衣柜下面第二个抽屉里有一张照片，你可以看看。
[name="ドーベルマン"]     ああ、タンスの二つ目の引き出しに写真がある、見てみるといい。
[name="Dobermann"]     Yes. There's a picture in the second drawer under the wardrobe. Take a look
[name="도베르만"]     그래. 옷장 아래 두 번째 서랍에 사진이 한 장 있다. 봐도 좋아.

[name="米格鲁"]     哇，真的，杜宾老师当时看起来好帅啊。
[name="ビーグル"]     はい。……わぁ、本当だ！　当時の教官もかっこいいです。
[name="Beagle"]     Wowww. You looked so cool back then, Instructor.
[name="비글"]     와… 진짜다. 선생님, 진짜 멋있으세요.

[name="芬"]     我也要看！
[name="フェン"]     私にも見せて！
[name="Fang"]     I wanna see!
[name="팽"]     저도 볼래요!

[name="芬"]     哇，真的。
[name="フェン"]     わぁ、本当にかっこいい。
[name="Fang"]     Woah. She did!
[name="팽"]     우와, 진짜네요.

[name="杜宾"]     看完了就放回去。
[name="ドーベルマン"]     見たら戻しておいてくれ。
[name="Dobermann"]     Put it back when you're done.
[name="도베르만"]     다 봤으면 제자리에 두도록.

[name="杜宾"]     在那里，我也没有留下什么好的回忆，最后我离开了玻利瓦尔，辗转加入了罗德岛。
[name="ドーベルマン"]     あそこには、何もいい思い出はない。その後ボリバルを離れた私はロドスに加入したというわけさ。
[name="Dobermann"]     Things didn't go well there either. And eventually I left Bolivar and came to Rhodes Island.
[name="도베르만"]     거기에서도 좋은 기억은 없었다. 결국 볼리바르를 떠나 이리저리 떠돌다, 로도스 아일랜드에 오게 되었지.

[name="杜宾"]     原本我是没有什么期待的。
[name="ドーベルマン"]     とはいえ、初めは何も期待していなかった。
[name="Dobermann"]     My expectations were low.
[name="도베르만"]     사실, 별다른 기대는 없었다.

[name="杜宾"]     但这里给了我惊喜。
[name="ドーベルマン"]     だがここでは思わぬ収穫があった。
[name="Dobermann"]     But I was pleasantly surprised.
[name="도베르만"]     하지만 로도스 아일랜드는 나에게 놀라움을 주었어.

[name="杜宾"]     一个士兵，可以很轻易地知道自己在执行一项愚蠢的命令，但他未必能知道，自己怎么做才是对的。
[name="ドーベルマン"]     自身が愚かな命令に従っていると知った兵士が、その後どうすべきか正しく判断できるとは限らない。
[name="Dobermann"]     A soldier knows when he's been given a stupid order, but he may not know what to do about it.
[name="도베르만"]     병사는 자신이 멍청한 명령을 수행하고 있다는 사실을 알고 있지만, 어떻게 해야 할지는 모른다.

[name="杜宾"]     这也是正确的命令的必要性。
[name="ドーベルマン"]     それが正確な命令の必要性だ。
[name="Dobermann"]     That's another reason you need the right orders.
[name="도베르만"]     이게 바로 정확한 명령의 필요성이다.

[name="杜宾"]     而罗德岛能做到这一点。
[name="ドーベルマン"]     そしてロドスでは、このような正確な命令が出されている。
[name="Dobermann"]     And Rhodes Island provides those.
[name="도베르만"]     로도스 아일랜드는 이걸 해냈어.

[name="米格鲁"]     （小声）芬，你听懂了吗？
[name="ビーグル"]     （小声）フェン隊長、分かりましたか？
[name="Beagle"]     (whispering) Fang, do you get what she's talking about?
[name="비글"]     (작은 소리로) 팽 씨, 알아들었어요?

[name="芬"]     （小声）一点点......
[name="フェン"]     （小声）少しだけ……
[name="Fang"]     (whispering) Kinda...
[name="팽"]     (작은 소리로) 조금은……

[name="杜宾"]     我上面说的这些，你们不用听进去，这只是我的一点感慨。
[name="ドーベルマン"]     今の話は聞き流しても良い。あくまで私の感慨に過ぎない。
[name="Dobermann"]     Don't worry about it too much. It's just me waxing philosophical.
[name="도베르만"]     내가 말한 것을 모두 이해할 필요는 없다. 이건 단지 내가 느낀 점일 뿐이니.

[name="杜宾"]     我主要是想告诉你们，你们可以多珍惜罗德岛一些。
[name="ドーベルマン"]     お前たちに伝えたかったのは、ロドスを今以上に大切にしろということだ。
[name="Dobermann"]     The main point here is you could stand to appreciate Rhodes Island a bit more.
[name="도베르만"]     내가 해주고 싶은 말은, 로도스 아일랜드를 소중하게 여기라는 거다.

[name="杜宾"]     在这里，你们可以放心地把自己交给罗德岛，即使不去思考为什么而战，也不会因而失去什么。
[name="ドーベルマン"]     お前たちは何の憂慮もなく自らをロドスに預けられる。たとえ何も思考せずに戦ったとしても、何かを失ってしまうことはない。
[name="Dobermann"]     You can safely give yourselves to Rhodes Island. Even if you don't think about what you're fighting for, you won't lose anything.
[name="도베르만"]     안심하고 너희 자신을 로도스 아일랜드에 맡겨도 좋아. 너희가 왜 싸우는지 모른다고 해도, 그것 때문에 무언가를 잃을 일은 없다.

[name="杜宾"]     有一个古老的问题是：向前走就对了，可人面向哪边，哪边就是前，那么，究竟哪边是前呢？
[name="ドーベルマン"]     使い古された問いかけがある。「前に進むことは正しい。しかし自分が向いている方向は、本当に『前』なのだろうか？」
[name="Dobermann"]     There's an age old question: If we know we have to move forward, but forward is always in front of us, how do we know which way to move?
[name="도베르만"]     오래된 질문이 하나 있지. "앞으로 나아가면 되는 것인가, 그렇다면 자신이 나아가는 방향은 정말로 '앞'이 맞는 것인가?"

[name="杜宾"]     这个问题没有答案，但至少，相信罗德岛为你指出的前，并一路走下去，我想不会有错。
[name="ドーベルマン"]     この問いに答えはない。だが少なくとも、ロドスが示した「前」に向けて進んでいけば、道を誤ることはないと私は思う。
[name="Dobermann"]     There's no answer to that question. But you can at least trust in Rhodes Island when they tell you which way is forward. You can't go wrong moving that way.
[name="도베르만"]     이 질문에 답은 없다. 하지만 적어도 로도스 아일랜드가 가르쳐준 길을 따라간다면, 틀리지 않을 것이라 생각한다.

[name="芬"]     相信罗德岛为我指出的前......感觉，稍微有些懂了杜宾老师想告诉我们的东西。
[name="フェン"]     ロドスが指し示す「前」を信じる……なんとなく、少しだけ教官が私たちに伝えたかったことが理解できた気がします。
[name="Fang"]     Trust in Rhodes Island.... I think... I think I get what you're trying to tell us.
[name="팽"]     로도스 아일랜드가 가르쳐준 길을 따라가라…… 도베르만 선생님이 하시고 싶은 말씀을 조금은 알 것 같아요.

[name="米格鲁"]     唔，也就是说，罗德岛是个好地方？
[name="ビーグル"]     うーん、つまり、ロドスはいい場所ということですね？
[name="Beagle"]     Yeah. Basically, Rhodes Island is a good place?
[name="비글"]     음, 그러니까, 로도스 아일랜드는 좋은 곳이라는 거죠?

[name="杜宾"]     ......呵呵，没错，确实可以这么认为。
[name="ドーベルマン"]     ……フフ、そうだ。そう考えていて間違いない。
[name="Dobermann"]     ........Heh heh. Yeah. That's about it.
[name="도베르만"]     ……후훗, 그래. 그렇게 생각하면 된다.

[name="杜宾"]     这里是几个理想主义者为了一点小小的愿望而拼命维持的世外桃源。
[name="ドーベルマン"]     ここは何人かの理想主義者が、ちっぽけな願いに命をかけ、その願いを繋いでいく桃源郷だ。
[name="Dobermann"]     It's an pie-in-the-sky paradise that a few idealists are desperately trying to keep going, for the sake of a little hope.
[name="도베르만"]     이곳은 이상주의자들이 작은 소망을 위해 목숨을 걸고 지키는 유토피아니까.

[name="米格鲁"]     虽然我也觉得罗德岛很好，但是有杜宾老师说的这么好吗......
[name="ビーグル"]     わたしもロドスはいいところだと思います。ですが、教官がそこまで言うほどに素晴らしいのでしょうか……
[name="Beagle"]     I know Rhodes Island is good... But is it really that good...?
[name="비글"]     저도 로도스 아일랜드가 좋은 곳이라고 생각하지만, 도베르만 선생님이 말씀하신 것처럼 좋은 곳일지는……

[name="杜宾"]     呵呵，你们可能要很久以后才能体会到这一点。
[name="ドーベルマン"]     フフ、それを感じるようになるまでは、まだまだ長い時間がかかるかもしれんな。
[name="Dobermann"]     Heh heh. It might take a while for you girls to realize it.
[name="도베르만"]     후후, 시간이 지나면 알게 될 거다.

[name="杜宾"]     好了，清扫耽误了不少时间，又听我说了些话，你们也该去吃饭了。
[name="ドーベルマン"]     掃除に時間をとらせた上、私の話にまで付き合わせてしまった。そろそろ昼食にするといい。
[name="Dobermann"]     All right, that's enough cleaning and chattering. It's time for you two to get some chow.
[name="도베르만"]     자, 청소에 내 이야기까지 듣느라 시간이 많이 지났구나. 밥 먹어야지.

[name="米格鲁"]     啊，真的，都快1点了！
[name="ビーグル"]     あ、本当だ、もうすぐ一時です！
[name="Beagle"]     Ah! Oh no! It's almost 1!
[name="비글"]     아, 진짜다! 벌써 1시예요!

[name="杜宾"]     嗯，辛苦你们帮我打扫了，你们先去吃饭吧，我马上就来。
[name="ドーベルマン"]     ああ、手伝いご苦労だったな。先に食事をしていてくれ、私もすぐに行く。
[name="Dobermann"]     Yep. Thanks for helping me clean up. You have something to eat. I'll be right along.
[name="도베르만"]     그래. 청소하느라 수고했다. 먼저 가서 식사해라. 나도 곧 가지.

[name="芬"]     好的，谢谢杜宾老师的教诲，我会回去好好消化的。
[name="フェン"]     わかりました。ためになるお話、ありがとうございました。しっかり覚えておきます。
[name="Fang"]     Okay, thanks for the lesson, Instructor Dobermann. I need some time to digest it.
[name="팽"]     네. 말씀 감사했습니다, 도베르만 선생님. 돌아가서도 잘 생각해 볼게요.

[name="米格鲁"]     我也会的！
[name="ビーグル"]     わたしもです！
[name="Beagle"]     Me too!
[name="비글"]     저도요!

[name="杜宾"]     不用当真也没有关系。
[name="ドーベルマン"]     そんな真剣に受け止めなくてもいいさ。
[name="Dobermann"]     Don't take it too seriously.
[name="도베르만"]     진지하게 생각하지 않아도 괜찮다.

[name="杜宾"]     还有，我改了主意，刚才说的东西，说不定我会出在某次测验上。
[name="ドーベルマン"]     ……いや、考えが変わった。先ほど話した内容は、そのうちテストに出すかもしれん。
[name="Dobermann"]     Also, I changed my mind. I think I might put this on one of my tests.
[name="도베르만"]     아 그리고, 생각이 조금 바뀌었다. 방금 내가 한 얘기가 테스트에 나올지도 몰라.

[name="杜宾"]     以及你们如果只是按照我说的去回答，会得0分。
[name="ドーベルマン"]     そして、私が言った内容をそのまま答えた場合、0点だ。
