PM9：39 罗德岛舰内
p.m. 09:39 ロドス艦内
9:39 PM Inside the Rhodes Island Landship
9:39 p.m  로도스 아일랜드 함선 내부
[name="미드나이트"]     이런 모습들, 우리랑 별 차이 없잖아. 안 그래?

[name="梓兰"]     ......你这家伙，倒是挺有演讲的天赋。
[name="オーキッド"]     ……あなた、演説の才能があるみたいね。
[name="Orchid"]     ...You're a boy who knows how to give a speech.
[name="오키드"]     너…… 연설에 재능이 있구나.

[name="月见夜"]     感谢您的夸奖。
[name="ミッドナイト"]     お褒めに預かり光栄です。
[name="Midnight"]     Thank you for the compliment.
[name="미드나이트"]     칭찬해 주셔서 몸 둘 바를 모르겠군요.

[name="梓兰"]     ......哎，你说的倒也不是没有道理，我只是无法产生实感。
[name="オーキッド"]     ……うーん、あなたの言ったことが間違ってるとは言わないけど、私はただ実感が湧かないの。
[name="Orchid"]     ...*Sigh*. That all makes sense. But I still feel like it's not completely true.
[name="오키드"]     하아…… 그래, 네 말도 틀리진 않아. 그냥 실감이 잘 안 나서 그래.

[name="月见夜"]     其实这倒不能怪你，我稍微好一点，公关这个行业，做到我这个地步，总是要接触一些灰色地带的。
[name="ミッドナイト"]     実感が湧かないのはしょうがないよ。俺はまだいいほうだけど、ホスト業界で俺くらいのレベルまでやっていると、グレーゾーンに触れざるを得ないことだってある。
[name="Midnight"]     And I can't blame you for that. My industry, as it is, always had a bit of an underbelly to it. I have that advantage.
[name="미드나이트"]     사실 이건 당신 탓이라 할 수 없지. 지금의 나 정도면 양호한 편이야. 전에 내가 있던 업계에서는, 나처럼 깊게 발을 들이면 쉽게 빠져나오기 힘들거든.

[name="月见夜"]     但梓兰小姐你不一样，你是真正在光明的地方成长的。
[name="ミッドナイト"]     でもオーキッドさんは違う。君は本当に陽のあたる場所で成長してきた人だから。
[name="Midnight"]     But not you, Orchid. You grew up entirely in the light of day.
[name="미드나이트"]     하지만, 오키드 씨는 달라. 당신은 떳떳한 곳에서 자랐으니까.

[name="月见夜"]     对你来说，最大的烦恼无非是工资低了一些，皮肤不够好，上班的交通混杂等等等等。
[name="ミッドナイト"]     君にとって一番の悩みは給料が低いとか、肌の調子が悪いとか、通勤ラッシュの混雑とか、そういうことだったのかもしれない。
[name="Midnight"]     The greatest hardships for you were lower pay than you'd like, insufficiently clear skin, traffic on your commute. Those sorts of things.
[name="미드나이트"]     당신의 가장 큰 불만은 낮은 월급이나 피부 트러블, 어쩌면 출근길 교통체증 정도였겠지.

[name="月见夜"]     对你来说，这个充斥着暴力和血腥的世界，确实是一个全新的世界。
[name="ミッドナイト"]     そんな君からすれば、暴力と生臭い血で染まった今の環境は、まったく別の新世界に見えて当然さ。
[name="Midnight"]     This world of violence and bloodshed is indeed a brave new world for you.
[name="미드나이트"]     아마 이렇게 폭력과 피비린내로 가득 찬 세상은, 당신에게 새로운 세계일 거야.

[name="月见夜"]     但你已经来到了这里，并且选择留了下来，那么，是不是应该至少去尝试了解它，而不是用过去的常识来束缚自己呢？
[name="ミッドナイト"]     でも君はロドスに来て、ここに残ることを選んだ。そしたら少なくとも、その新世界を理解しようとしてみてもいいんじゃないかな？　過去の常識で自分を縛り付けるんじゃなくてね。
[name="Midnight"]     But you're here. You made your choice. Shouldn't you at least try to understand it instead of shackling yourself to the common sense of your past?
[name="미드나이트"]     하지만 당신은 이미 여기에 있고, 남기로 선택했잖아. 그렇다면 적어도 과거의 상식으로 자신을 얽맬 게 아니라, 이걸 이해해보려 해야 하지 않을까?

[name="梓兰"]     过去的常识......
[name="オーキッド"]     過去の常識……
[name="Orchid"]     The common sense of my past...
[name="오키드"]     과거의 상식……

[name="月见夜"]     当然，我不是想要说教，且不说我有没有这个资格，而是这一点，难道已经成为罗德岛“时尚大师”的梓兰小姐会不明白吗？
[name="ミッドナイト"]     もちろん、俺にそんな資格があろうとなかろうと、君に説教を垂れるつもりはないよ。だってそんなことは、ロドスの「ファッションマスター」であるオーキッドさんにわからないはずはないからね。
[name="Midnight"]     I'm not trying to be preachy. I'm definitely not qualified to preach. But wouldn't the 'fashion guru' of Rhodes Island understand that?
[name="미드나이트"]     물론 설교할 생각은 아니야. 내가 무슨 자격으로 그러겠어? 설마 로도스 아일랜드의 '트렌드 세터'인 오키드 씨가 모르지는 않겠지?

[name="梓兰"]     啧，居然连你都知道了。
[name="オーキッド"]     チッ、あなたにまで知られてたのね。
[name="Orchid"]     Even you know about that, huh?
[name="오키드"]     쳇. 설마 너도 알고 있었다니.

[name="月见夜"]     我和不少前辈干员聊过，从他们那里听了许多有趣的新闻。
[name="ミッドナイト"]     俺は色んな先輩オペレーターともお喋りしてるからね。先輩たちからは面白いニュースをたくさん仕入れてるよ。
[name="Midnight"]     I've talked to quite a few senior operators. I've heard a lot of interesting stories.
[name="미드나이트"]     아무래도 내 주위엔 흥미로운 소식들을 들려줄 오퍼레이터 선배들이 많다 보니.

[name="梓兰"]     你这就和他们搞好关系了？
[name="オーキッド"]     あなたはもうほかの人たちとそんなに仲良くなったの？
[name="Orchid"]     And you're getting in good with them?
[name="오키드"]     다른 사람들이랑 그렇게 친해졌다고 벌써?

[name="月见夜"]     无论是谁，只要听得懂我的语言，我就能和他搞好关系，这是我身为东夜魔王的“特殊能力”。
[name="ミッドナイト"]     相手が誰であれ、俺の言葉を理解できる人であれば、すぐに仲良くなれるからね。これは東夜の魔王の「特殊能力」ってやつさ。
[name="Midnight"]     I get in good with anyone, as long as they understand my language. This is my special power as the Devil of the Eastern Night.
[name="미드나이트"]     내 말을 알아듣는 사람이라면 누구든지 금방 친해질 수 있지. 이건 동야의 마왕인 이 몸의 '특수 능력'이거든.

[name="梓兰"]     是是是。
[name="オーキッド"]     はいはい、そうですね。
[name="Orchid"]     Right.
[name="오키드"]     아 예 예 그러시겠죠.

[name="月见夜"]     所以，会找你设计服装，咨询时尚搭配的他们是不是和我们一样的普通人，这一点你再清楚不过了不是吗？
[name="ミッドナイト"]     まぁつまり、君に服のデザインを頼んだり、流行りのコーディネートについて訊ねたりする彼らが、果たして俺たちと同じ普通の人なのかどうかってことだよ。君ならハッキリと分かっているだろう？
[name="Midnight"]     So you know perfectly well that the people who ask you to design their outfits and give fashion tips are ordinary people like us, don't you?
[name="미드나이트"]     그러니까, 우리 오키드 아가씨에게 디자인이나 패션 코디에 대해 물어보는 사람들이 과연 우리 같은 평범한 사람들인지 아닌지는, 본인이 더 잘 알고 있겠지?

[name="梓兰"]     ......
[name="オーキッド"]     ……
[name="Orchid"]     ........
[name="오키드"]     ……

[name="月见夜"]     对了，斑点，你刚才不是问我，为什么我在做男公关时就有练习剑术吗？
[name="ミッドナイト"]     そうだ、スポット。さっき俺に、ホスト時代にどうして剣術の訓練をしていたか聞いたよね？
[name="Midnight"]     By the way, Spot. You asked me why I knew how to fight when I was just an 'escort.'
[name="미드나이트"]     그러고 보니, 스팟. 아까 왜 호스트일 때부터 검술을 연습했는지 물어봤었지?

[name="斑点"]     嗯？啊，哦，对，我都忘了。
[name="スポット"]     ああ？　ああ、そうだったな、忘れてた。
[name="Spot"]     Huh? Ah, oh yeah, I forgot.
[name="스팟"]     어? 어, 까먹고 있었네.

[name="月见夜"]     别这么说，这是一个稍微有些长的故事，所以我们换个地方吧，去食堂，我请客。
[name="ミッドナイト"]     そんなつれないこと言わないでくれよ。ちょっと長い話になるから場所を変えて話そう。俺がおごるから、食堂に行こうか。
[name="Midnight"]     You wound me. This is a bit of a story, so let's take it to the cafeteria. My treat.
[name="미드나이트"]     그럼 차라리, 식당으로 자리를 옮기는 건 어떨까? 조금 이야기가 길어질 것 같으니. 내가 사도록 하지.

[name="斑点"]     听起来很麻烦，可以不听吗，我也不是很在意。
[name="スポット"]     面倒臭そうだから遠慮していいか？　俺はもうそんなこと気にしてないし。
[name="Spot"]     Sounds like a pain in the ass. Can I pass? I don't really care.
[name="스팟"]     아 귀찮은데… 안 들으면 안 돼? 별로 안 궁금한데.

[name="月见夜"]     呵呵，不行。
[name="ミッドナイト"]     フフ、ダメだ。
[name="Midnight"]     Heh heh. I'm afraid not.
[name="미드나이트"]     후후, 미안하지만 어렵겠는걸.

[name="斑点"]     啧，草率了，中途就该溜走的。
[name="スポット"]     チッ、ミスったな。途中で帰れば良かった。
[name="Spot"]     Damn. I blew it. I should've slipped out halfway through.
[name="스팟"]     쳇, 아까 틈 보일 때 바로 도망갔어야 했는데… 실수했네.

[name="月见夜"]     虽然我说我请客，你们还真是一点也不客气啊......
[name="ミッドナイト"]     俺がおごるとは言ったけど、君たちは本当に少しも遠慮しないんだね……
[name="Midnight"]     I said it was my treat, but you could still show a little decorum...
[name="미드나이트"]     내가 쏜다고는 했지만, 이건 너무 가차 없는 거 아닌가……

[name="斑点"]     有这个必要吗？
[name="スポット"]     そんな必要あったか？
[name="Spot"]     Do we have to?
[name="스팟"]     애초에 그럴 필요가 있었나?

[name="泡普卡"]     唔唔......这个好好吃！梓兰姐姐不吃吗？
[name="ポプカル"]     もぐもぐ……これ美味しい！　オーキッドお姉さんは食べないの？
[name="Popukar"]     Mmmmm..... It's so good! Why aren't you eating, Orchid?
[name="포푸카"]     우웅…… 맛있어! 오키드 언니, 안 먹어?

[name="梓兰"]     晚饭时间后，我是不可能吃东西的。
[name="オーキッド"]     夕食の後は何も食べないの。
[name="Orchid"]     I never eat after dinner.
[name="오키드"]     저녁 시간 지나면 안 먹어서.

[name="月见夜"]     真是当代女性的标杆呢。
[name="ミッドナイト"]     本当に現代女性の鑑だなぁ。
[name="Midnight"]     That's the mark of a modern woman.
[name="미드나이트"]     역시, 이 시대 여성의 본보기라니까.

[name="梓兰"]     ......
[name="オーキッド"]     ……
[name="Orchid"]     ........
[name="오키드"]     ……

[name="月见夜"]     咳咳，好吧，那么言归正传。
[name="ミッドナイト"]     コホン、では本題といこうか。
[name="Midnight"]     Ahem, right, back to business then.
[name="미드나이트"]     흠흠, 그럼 본론으로 돌아가 볼까.

[name="月见夜"]     首先，容我冒昧地问一下，梓兰小姐你是怎么感染矿石病的？当然，要是你不想说的话，可以不说。
[name="ミッドナイト"]     まず、不躾な質問だけど、オーキッドさんはどうやって鉱石病に感染したのかな？　もちろん、言いたくなければ言わなくていいよ。
[name="Midnight"]     First of all, if I may be so bold as to ask, Orchid, how did you contract Oripathy? If that's too personal a question, you don't have to answer.
[name="미드나이트"]     먼저 실례를 무릅쓰고 하나 물어보지. 우리 오키드 아가씨는 어쩌다 광석병에 감염된 거지? 물론 말하기 싫다면 하지 않아도 돼.

[name="梓兰"]     ......没什么特别的，就是有一天忽然发现自己身上长出了一点结晶。
[name="オーキッド"]     ……何も特別なことはないわ。ある日急に身体に結晶が生えてきて初めて気付いたの。
[name="Orchid"]     ........It's not a great story. Just one day I suddenly noticed a little crystalline growth on my body.
[name="오키드"]     ……별로 특별할 것도 없어. 어느 날 갑자기 몸에서 결정이 자라났거든.

[name="梓兰"]     医疗部的人说应该是我在没有自觉的时候接触了源石制品，我没什么头绪。
[name="オーキッド"]     医療部の人は、恐らく気づかないうちに源石製品か何かに触れたんだろうって言ってたけど、特に心当たりはなかったわ。
[name="Orchid"]     The doctors said I must have been exposed to some Originium without even knowing. I still don't know exactly how I got it.
[name="오키드"]     의료부에서는 나도 모르는 사이에 오리지늄 제품에 닿았을 거라고 하는데, 기억이 없어.

[name="梓兰"]     就这么简单。
[name="オーキッド"]     そんなところよ。
[name="Orchid"]     That's it.
[name="오키드"]     그냥 그게 다야.

[name="月见夜"]     啊，原来如此，这也难怪你会产生刚才的疑问。
[name="ミッドナイト"]     ああ、そうだったのか。どうりでさっきみたいな疑問が生まれるわけだ。
[name="Midnight"]     Ah, I see. No wonder you're having this little crisis.
[name="미드나이트"]     아, 그랬군. 그래서 방금 그런 의문이 든 거구나.

[name="月见夜"]     那么，我说说我的经历吧。
[name="ミッドナイト"]     じゃあ、今度は俺の話をしよう。
[name="Midnight"]     So, let me tell you my experience.
[name="미드나이트"]     그렇다면 내 이야기를 해볼까.

[name="月见夜"]     我曾经有一个后辈。
[name="ミッドナイト"]     俺には昔、一人の後輩がいた。
[name="Midnight"]     There was a younger man working in my club.
[name="미드나이트"]     후배가 하나 있었어.

[name="月见夜"]     那是一个和我完全相反的类型，阳光、直率、打心底里讨人喜欢的人。
[name="ミッドナイト"]     彼は俺とは全く逆のタイプだった。明るくて、素直で、天性の人たらしって感じのね。
[name="Midnight"]     He was my polar opposite: bright, sunny disposition, straightforward. Instantly likeable.
[name="미드나이트"]     밝고, 솔직하고, 누구나 좋아할 만한, 나와는 정반대의 타입이었지.

[name="月见夜"]     当然，会在我那个行业做事的，没有真的天真的，但如果说我不介意去恶意揣测别人，那他则更愿意去相信别人。
[name="ミッドナイト"]     もちろん、あの業界で働くような人に、根っから天真爛漫で素直な人なんていないんだけどね。だけど、俺が人を悪い方に考えて疑うようなタイプなら、彼は人を信じようとするタイプだった。
[name="Midnight"]     Of course, no one who works in my industry could be called naive. But if I'm the type to make malicious assumptions about people, he's the type to trust them.
[name="미드나이트"]     물론 내가 있었던 업계에 정말로 순진한 사람은 없지만, 내가 남을 악의적으로 판단하는 편이었다면, 오히려 그 친구는 남을 믿는 쪽이었어.

[name="斑点"]     听起来是我会讨厌的类型。
[name="スポット"]     俺の嫌いそうなタイプだな。
[name="Spot"]     Sounds like the type I would hate.
[name="스팟"]     난 그런 타입 별로더라.

[name="月见夜"]     也就是说，其实斑点你还挺喜欢我这样的性格的？
[name="ミッドナイト"]     つまり、スポットは遠回しに、俺のような性格が好きって言っているのかな？
[name="Midnight"]     Is that your way of saying you like me, Spot?
[name="미드나이트"]     그러니까 스팟은, 사실 나 같은 사람을 좋아한단 말이지?

[name="斑点"]     梓兰，自恋是不是真的没药医？
[name="スポット"]     ……なぁオーキッド、ナルシストに効く薬はないのか？
[name="Spot"]     Orchid, is there really no cure for narcissism?
[name="스팟"]     오키드, 나르시시즘에는 약이 없나?

[name="梓兰"]     我之后会去问问医疗部，说不定还有救。
[name="オーキッド"]     今度医療部に聞いてみるわ。まだ助かるかもしれない。
[name="Orchid"]     I'll ask Medical later. Maybe there's hope.
[name="오키드"]     의료부에 가서 물어봐야겠어. 아직 가망이 있을지도 몰라.

[name="月见夜"]     呵呵，那么，我刚才说，我把所有人都当做我的客人，也就是说，我不会因为对方的身份地位想法而改变我的做法。
[name="ミッドナイト"]     フフ、さっきの話に戻るけど、俺の隣に来たならそれが誰であってもただの「お客様」になる。つまり俺は、相手の身分や地位、考え方によってやり方を変えないということさ。
[name="Midnight"]     Heh heh. As I said before, I treat all my clients equally. Meaning I don't change my approach based on one's status or identity.
[name="미드나이트"]     후후, 방금도 말했지만 나는 모든 사람을 손님으로 생각했어. 그러니까, 손님의 신분을 보고 태도를 바꾸지 않았다는 거지.

[name="月见夜"]     我是主动在这么做，但对他来说，这就像是一种天赋。
[name="ミッドナイト"]     俺は意識してそうやっていたんだけど、彼は無意識にそれができていた。まぁ一つの才能と言えるだろうね。
[name="Midnight"]     I make an active effort towards that goal. But for him, it was second nature.
[name="미드나이트"]     난 늘 의식하며 그렇게 행동했었지만, 그 사람은 무의식적으로 그렇게 행동했어. 뭐… 일종의 재능이라고도 할 수 있었겠지.

[name="月见夜"]     作为那个行业的佼佼者，我看得出，他会是超越我的人。
[name="ミッドナイト"]     それを知った時、あの業界の逸材である俺には分かった、彼は俺を超える存在になると。
[name="Midnight"]     From my position atop the industry, I could see that he would be the one to surpass me.
[name="미드나이트"]     업계에서 넘버원이었던 난 바로 알 수 있었어. 그 사람은 나를 뛰어넘을 사람이라는 걸.

[name="泡普卡"]     所以那个人超越月见夜哥哥了吗？
[name="ポプカル"]     その人はミッドナイトお兄さんを超えたの？
[name="Popukar"]     So that person surpassed Midnight?
[name="포푸카"]     그래서 그 사람이 미드나이트 오빠 뛰어넘었어?

[name="梓兰"]     ......没有这么简单。
[name="オーキッド"]     ……そう簡単じゃないと思うわ。
[name="Orchid"]     ........It can't be that simple.
[name="오키드"]     ……그렇게 간단하지는 않았겠지.

[name="泡普卡"]     欸？
[name="ポプカル"]     えっ？
[name="Popukar"]     Huh?
[name="포푸카"]     그래?

[name="月见夜"]     ......是啊，要是这样就好了。
[name="ミッドナイト"]     ……そうだね、そうだったらよかったんだけど。
[name="Midnight"]     ........Yeah, it would be nice if that was the whole story.
[name="미드나이트"]     ……그래. 그랬으면 얼마나 좋았을까.

[name="月见夜"]     现在想想，其实是我害了他。他的家境并不好，他对金钱是有渴望的，而我对他来说，太耀眼了。
[name="ミッドナイト"]     今思い返してみれば、俺が彼を蹴落としたようなものさ。彼の家庭環境はお世辞にもいいとは言えなくてね。彼は金を渇望していた。そして俺は彼からすると、眩しすぎたんだ。
[name="Midnight"]     Now that I think about it, I actually did him a disservice. He didn't come from a good family. He needed the money. To him, I must've looked like the king of the world.
[name="미드나이트"]     지금 생각해보면 다 내 잘못이야. 후배는 가정환경이 좋지 않았기 때문에 돈에 집착했지. 그 후배 눈에 나는, 눈이 부신 그런 존재였을 거야.

[name="月见夜"]     如果没有我，他应该能在这个行业里凭借他的能力混的很好，但我的存在，让他偏离了道路。
[name="ミッドナイト"]     もし俺がいなければ、彼は自身の能力を頼りにうまくやっていけたはずさ。でも俺の存在が、彼に道を踏み外させてしまった。
[name="Midnight"]     If I was out of his way, he would have been able to make it in that world.
[name="미드나이트"]     나만 없었다면, 분명 이 업계에서 자신의 능력을 펼칠 수 있었을 텐데… 나 때문에 후배는 점차 잘못된 길을 걷기 시작했어.

[name="月见夜"]     我应该在更早的时候教给他如何去摆好自己的位置，如何去看待金钱，如何去适应他人的看法。
[name="ミッドナイト"]     俺はもっと早いうちに、どうやって自分の立ち位置を確立して、お金とどう向き合って、他人の考え方にどうやって順応するかを彼に教えるべきだったんだ。
[name="Midnight"]     I should have taught him much earlier how to situate himself, how to handle money, and how to be what people needed him to be.
[name="미드나이트"]     어떻게 자신의 자리를 지켜야 하는지, 돈을 어떻게 대해야 하는지, 타인의 시선에 어떻게 적응해야 하는지… 그런 것들을 일찍 알려줬어야 했는데.

[name="月见夜"]     如果是这样，或许最后就不会变成我们刀刃相向的结果。
[name="ミッドナイト"]     もしそれができていれば、最後に刃を向け合う結果にはならなかったかもしれない。
[name="Midnight"]     Had I done that, maybe we wouldn't have ended up at each other's throats.
[name="미드나이트"]     그랬다면, 서로에게 칼을 들이대는 결과는 없었을 텐데.

[name="梓兰"]     他嫉妒你，而你没有发现？
[name="オーキッド"]     彼はあなたに嫉妬して、あなたはそれに気付かなかった……ということ？
[name="Orchid"]     He was jealous of you? And you didn't notice?
[name="오키드"]     후배가 너를 질투한다는 걸 몰랐어?

[name="月见夜"]     ......他掩饰得很好，或者说，连他自己都没有发现自己的改变。
[name="ミッドナイト"]     ……彼はうまく平静を装っていたからね。あるいは彼自身も、自分が変わったことに気付いていなかったのかもしれない。
[name="Midnight"]     ........He hid it well. Or rather, he didn't even notice it himself.
[name="미드나이트"]     그 후배는…… 전혀 티를 내지 않았어. 어쩌면, 자기 자신도 눈치채지 못했던 걸지도 모르지.

[name="月见夜"]     直到他第一次差点杀了我的时候，我才意识到，我曾经自诩对人性的了解其实是片面的。
[name="ミッドナイト"]     当時俺は、人間性というものを熟知してると思っていた。でも初めて彼に殺されそうになった時、やっと気付いたんだ。俺が熟知してると思っていたのは、あくまで人の一部分に過ぎないってことに。
[name="Midnight"]     It wasn't until he almost killed me the first time that I realized this flaw in my understanding of human nature.
[name="미드나이트"]     후배가 처음 나를 죽일 뻔했을 때 깨달았어. 사람에 대해서 잘 안다고 했던 내 말은, 결국 전부 내 단편적인 생각이었다는 사실을.

[name="斑点"]     我觉得吧，和对人性的了解没什么关系，你只是人太好。
[name="スポット"]     いや、人間性云々よりも、あんたの人が良すぎたってだけじゃないのか。後輩の才能を讃えて、自分が憎しみを向けられてることなんて考えもしなかったんだろ。
[name="Spot"]     I think it's got nothing to do with human nature. You're just too nice.
[name="스팟"]     잘 아네 마네 상관없이 너는 그냥 착해 빠졌던 거 같은데.

[name="梓兰"]     确实，看不出来你还是个提携后辈的好人。
[name="オーキッド"]     あなたが後輩を立てるような人だとは思ってもみなかったけど。
[name="Orchid"]     Right? I never thought of you as the type to mentor a newbie.
[name="오키드"]     확실히 후배를 잘 이끌어줄 타입은 아니지.

[name="泡普卡"]     但是月见夜哥哥是好人啊，泡普卡知道的！
[name="ポプカル"]     ミッドナイトお兄さんはすごくいい人だよ。ポプカル知ってるよ！
[name="Popukar"]     But Midnight is a really good man! I always knew!
[name="포푸카"]     하지만 미드나이트 오빠는 좋은 사람이야. 포푸카가 아는걸!

[name="月见夜"]     谢谢你，泡普卡。
[name="ミッドナイト"]     ありがとう、ポプカルさん。
[name="Midnight"]     Thank you, Popukar.
[name="미드나이트"]     고마워, 포푸카.

[name="斑点"]     不过，有第一次，也就是说有第二次？
[name="スポット"]     「初めて」ってことは、次もあったのか？
[name="Spot"]     But you said 'first time,' which means there was a second time.
[name="스팟"]     하지만 처음이라니? 두 번째도 있었어?

[name="月见夜"]     是啊。
[name="ミッドナイト"]     その通り。
[name="Midnight"]     Right.
[name="미드나이트"]     맞아.

[name="月见夜"]     第一次他确实差点杀了我，差一点，真的就差一点。我敢说，如果那是他第二次杀人，我已经死了。
[name="ミッドナイト"]     初めての時は、ほんのもう少しで殺されていた。
[name="Midnight"]     He did almost kill me the first time. Almost. I'm confident, had that been his second attempt to kill a man, I wouldn't be sitting here.
[name="미드나이트"]     처음에는 날 거의 죽일 뻔했지. 정말 간발의 차였어. 만약 그게 후배의 두 번째 살인이었다면, 나는 죽었을 거야.

[name="月见夜"]     但我活了下来。
[name="ミッドナイト"]     でも俺は生き延びて、彼には軽い制裁を下した程度だった。
[name="Midnight"]     But I am.
[name="미드나이트"]     하지만 살아남았지.

[name="斑点"]     我赌5块龙门币，你心软了。
[name="スポット"]     5龍門幣賭ける、あんたは情に流されたんだろ。
[name="Spot"]     I bet five Lungmen dollars you bitched out.
[name="스팟"]     네가 물러 터졌었다는 데 5 용문폐를 걸지.

[name="月见夜"]     不，我不是心软了，我是没想过。
[name="ミッドナイト"]     いや、俺は考えたことなかったのさ。
[name="Midnight"]     No. I didn't. It's just… I couldn't have expected what happened next.
[name="미드나이트"]     아니, 무른 게 아니라, 생각조차 해본 적도 없었어.

[name="月见夜"]     那个时候的我，和梓兰小姐一样，我们没想过世界上原来会有那么大的恶意，有那么血腥的事情。
[name="ミッドナイト"]     自分が生きる世界にそれほどの悪意が……血生臭い現実があるってことをね。あの時の俺はオーキッドさんと同じだった。
[name="Midnight"]     At the time, I saw the world as Orchid does. I never thought of it as a place of malice and bloodshed.
[name="미드나이트"]     그때의 나는 오키드 아가씨처럼 세상이란 원래 이렇게 악의로 가득 차고, 피비린내 나는 것이라곤 생각하지 못했거든.

[name="月见夜"]     我当时只逼得他退出业界，并从那个时候起，我就私下开始练习剑术，我以为这样已经足够了，我真的以为这样已经足够了。
[name="ミッドナイト"]     俺は、彼を業界から締め出しただけだった。剣術の特訓はその時から始めたのさ。それで十分だと思っていた。……そう、十分だと心の底から思っていたんだ。
[name="Midnight"]     I muscled him out of the industry and learned how to handle a sword. I thought that would be enough. I really did.
[name="미드나이트"]     그때 나는 후배를 업계에서 내쫓을 생각밖에 하지 않았어. 그래서 그때부터 혼자 검술 연습을 했지. 그걸로 충분할 거라 생각했어. 정말로… 그거면 될 줄 알았지.

[name="月见夜"]     直到有一天，我的身体忽然出现了问题。
[name="ミッドナイト"]     ……ある日、突然身体に異常をきたすまでは。
[name="Midnight"]     Until one day, I discovered a health problem.
[name="미드나이트"]     내 몸에 문제가 생기기 전까지는 말이야.

[name="梓兰"]     你的矿石病......
[name="オーキッド"]     あなたの鉱石病は……
[name="Orchid"]     Your Oripathy....
[name="오키드"]     광석병……

[name="月见夜"]     他买通了我的经纪人，用一些我无法察觉的手段让我感染了矿石病。
[name="ミッドナイト"]     彼は俺のマネージャーを買収して、俺が気付かない方法で鉱石病を感染させたのさ。
[name="Midnight"]     He paid my agent to infect me somehow.
[name="미드나이트"]     후배가 내 매니저를 매수하고, 내가 알아차릴 수 없는 수단으로 날 광석병에 감염시킨 거야.

[name="月见夜"]     并且这一次，当他出现在我面前时，他也已经是感染者了，还跟着一帮他的“朋友”。
[name="ミッドナイト"]     しかもその後、彼が俺の前に姿を現したときには、彼自身も感染者になっていて、さらにたくさん「お友達」たちを従えてた。
[name="Midnight"]     The second time he came looking for me, he was Infected himself. And he brought his 'friends' with him.
[name="미드나이트"]     그리고 그다음에 그가 내 앞에 모습을 드러냈을 때는, 그도 이미 감염자가 된 상태였어. 게다가 '친구들'까지 데려왔더군.

[name="月见夜"]     我旁观过许多仇恨，我以为我了解它，但当仇恨真正指向我时，我才体会到，原来那是这样一种炽烈的感情。
[name="ミッドナイト"]     恨みつらみはたくさん見てきたから、よく理解してると思っていたんだけどね。全然だった。俺は彼に殺意を向けられて初めて、それがあんなにも強烈な感情だと知ったんだ。
[name="Midnight"]     I had seen a lot of hate in my work. I thought I understood it. But when it was actually directed at me, I felt it burning in a way I hadn't ever before imagined.
[name="미드나이트"]     원한을 품는 일들을 지금까지 많이 봐 왔기에, 난 내가 그 원한이란 놈을 잘 이해하는 줄 알고 있었어. 하지만 그 원한이 나를 향했을 때, 난 그제서야 깨닫게 되었지. 그게 얼마나 강렬한 감정인지 말이야.

[name="斑点"]     但是你赢了。
[name="スポット"]     でも勝ったんだろ。
[name="Spot"]     But you won.
[name="스팟"]     하지만 결국엔 네가 이긴 거 아니야?

[name="月见夜"]     是啊，虽然我的剑术在你看来还不入流，但对付十几个流氓，拼上半条命，还是能解决掉的。
[name="ミッドナイト"]     ああ、俺の剣術はスポットからすればまだまだかもしれないけど、十数人のチンピラくらいなら、命をほんの半分ほど賭ければなんとかなるからね。
[name="Midnight"]     I did. Even if I can't go toe to toe with you, I can fight off a dozen thugs and walk away with my life.
[name="미드나이트"]     그래. 네 눈에는 내 검술이 형편없겠지만… 이래 봬도 죽을 각오로 싸우면 깡패 열댓 명 정도는 이길 수 있을 정도거든.

[name="月见夜"]     这一次，我亲手把他......
[name="ミッドナイト"]     そしてあの時、俺はこの手で……
[name="Midnight"]     It was then, with my own hands, I took his...
[name="미드나이트"]     그리고 내 손으로 후배를……

[name="泡普卡"]     呜呜呜呜啊啊啊啊啊！
[name="ポプカル"]     うううううわああああああああん！
[name="Popukar"]     Waaaaaaahhhhhh!
[name="포푸카"]     으아아아아아앙!

[name="梓兰"]     怎么了，泡普卡？
[name="オーキッド"]     どうしたの、ポプカル？
[name="Orchid"]     What's wrong, Popukar?
[name="오키드"]     포푸카, 왜 그래?

[name="泡普卡"]     月见夜哥哥好可怜，呜呜呜......
[name="ポプカル"]     ミッドナイトお兄さん、かわいそう。ぐすん……
[name="Popukar"]     Poor Midniiiiiiight! Waaaaahhh...
[name="포푸카"]     미드나이트 오빠가 너무 불쌍해. 흐흑……

[name="月见夜"]     别哭，泡普卡。
[name="ミッドナイト"]     泣かないで、ポプカルさん。
[name="Midnight"]     Don't cry, Popukar.
[name="미드나이트"]     울지 마, 포푸카.

[name="月见夜"]     其实，我应该感谢他，是他让我明白了我的不成熟。
[name="ミッドナイト"]     実のところ、俺は彼に感謝すべきだと思ってるんだ。俺の未熟さを悟らせてくれたからね。
[name="Midnight"]     Honestly, I should thank him for showing me how immature I was.
[name="미드나이트"]     사실, 난 나의 미성숙함을 알려준 그 녀석에게 고마워하고 있어.

[name="月见夜"]     在那之后，我通过各种渠道了解到罗德岛这样一个地方，并下定决心离开业界，在东国的办事处注册后，千里迢迢来到这里。
